dim,e_v,e_m
0,0.00909172552,0.006789015183
1,0.02104888637,-0.008526942275
2,0.001723160897,0.007833565981
3,0.02977361846,0.01284694314
4,0.0118424643,-0.01527220936
5,0.02221948056,0.02177094174
6,0.01275040584,-0.007340121638
7,-0.02604308657,0.02691380471
8,0.02198302172,-0.002741474021
9,0.0119276275,0.004662088244
10,0.02898382619,-0.007477808698
11,-0.01976150259,-0.03764262985
12,-0.02756098484,0.01618259314
13,0.007623817269,-0.01237967311
14,-0.006100805091,0.003052393063
15,-0.002482333629,0.01652036525
16,0.005403959242,-0.006174783949
17,0.01532252203,-0.01416618403
18,-0.006493240167,0.01687278501
19,0.01149370597,-0.01494821485
20,-0.002563326279,0.002506483215
21,0.005554182835,0.01477575831
22,-0.02430368914,0.002830701971
23,0.00408998128,0.02790858409
24,-0.01721406098,0.009906257773
25,-0.003103172517,0.008240077637
26,0.002059022626,-0.00979195701
27,0.0207366131,-0.02786620424
28,-0.0354645374,0.03711746248
29,-0.001228445609,-0.01353697013
30,-0.005751199472,-0.01658406612
31,-0.0002106967688,-0.01700510485
32,-0.01955745371,-0.004622940427
33,-0.0171536203,0.02085423371
34,-0.01643401683,0.009336500841
35,-0.01087062883,4.568665187e-05
36,-0.01127597695,0.007745780637
37,0.02137611843,-0.001378782158
38,4.602568778e-05,-0.006870687417
39,0.1098823475,0.0204417376
40,0.0109511106,0.0154823405
41,0.01171926453,-0.002005263338
42,0.01562274518,0.0004923587809
43,0.01694388221,-0.009016848579
44,0.01018880512,-0.0246696564
45,-0.02031726547,-0.01043804474
46,-0.01124644329,0.03076233878
47,0.01492094542,-0.0128939963
48,-0.007530742172,0.01381238315
49,0.003026974092,-0.01037476217
50,-0.02829701623,0.009929774947
51,0.02756721745,0.02259020054
52,0.009800764605,-0.007787571686
53,-0.01097393185,0.0004126834372
54,0.003215169162,-0.007065607749
55,-0.02196934185,-0.01339393164
56,0.02605171643,0.004811459497
57,-0.003612141617,0.03877743061
58,-0.01080587137,0.00592546282
59,0.007415804823,-0.01334473907
60,0.01038700476,0.009065422212
61,0.008219341878,-0.00692585433
62,0.01514995649,-0.01622172113
63,-0.006622049004,-0.01016163876
64,-0.00352820955,-0.003035331572
65,-0.01251254151,0.04154657673
66,-0.01032541309,-0.02361998656
67,-0.01216913643,0.02659455641
68,0.01043830416,0.01506753107
69,-0.003859309146,-0.005665223985
70,0.02325845252,-0.006173336221
71,0.02688968529,-0.018088401
72,-0.02332666048,0.0712504086
73,0.02443518253,0.0214165762
74,-0.01322495249,-0.00930496707
75,-0.08974384692,0.02517376514
76,-0.001779158925,0.005019313557
77,0.00134630702,-0.02036088117
78,-0.0209259586,-0.02306406826
79,0.005246831757,0.006894402057
80,0.004201371298,-0.002504128442
81,-0.02393414082,0.1435485542
82,0.05090011187,-0.004636350292
83,-0.02002677464,-0.002694938428
84,0.007268330467,0.001626675102
85,-0.006637007487,0.008895923391
86,-0.01374923316,0.03038087607
87,0.006704512272,-0.0002909768663
88,0.01487648497,-0.008480358923
89,0.009092300635,-0.00537324102
90,-0.007916337548,-0.004694824144
91,0.001306306317,0.002577103769
92,-0.008400089645,0.01326329792
93,-0.02931099479,0.02366411872
94,-0.02762490935,0.006410348245
95,0.02694717837,0.1061407829
96,0.02130707944,-0.0005146390901
97,0.05409776372,0.008170342248
98,0.002717385572,0.007243963656
99,0.007717019562,-0.00921164906
100,0.01355407029,-0.0006876293663
101,-0.04089470575,0.01083685644
102,0.02149482723,0.03726588136
103,0.0001680587033,0.02345078396
104,-0.0481081254,0.03330388902
105,-0.01302560249,-0.005764386943
106,0.03592991096,-0.01678653848
107,0.01282321624,-0.01229092979
108,0.02687056346,0.003843235695
109,0.01812988206,0.003809486281
110,-0.02423879033,0.04541456478
111,-0.009822483563,0.002809204235
112,-0.005495627591,-0.03116152395
113,0.001652331938,0.005058374122
114,0.005578090871,-0.001201465753
115,-0.01605104238,0.01441623648
116,-0.004777175109,-0.004823577084
117,-0.02217006576,0.001026345038
118,-0.01550748815,-0.0647533447
119,-0.006392495097,0.07598872806
120,0.01656240995,0.005120563957
121,-0.01930411888,0.02724229523
122,-0.009820405575,0.01049069917
123,-0.000490176746,0.02406974558
124,-0.01170810971,0.02143024697
125,0.005190833406,0.002497487011
126,0.01068211417,0.004935289521
127,0.02485389129,0.06587019011
128,0.02685448633,-0.0100114406
129,0.001682184859,-0.0002159962938
130,0.007494177242,0.005495669834
131,0.009499246978,0.003341984821
132,0.03682332567,0.002018908229
133,0.004347599501,0.004314844237
134,-0.001551618113,0.006974924564
135,0.004094712445,0.01949849595
136,-0.04074934045,0.006547075319
137,0.005867798514,-0.01352657929
138,-0.04165311119,-0.05345586274
139,0.02529682717,-0.007963118433
140,0.035210627,-0.03952095643
141,0.01510421777,0.01347828383
142,-0.04553469775,0.002559968612
143,-0.05715593322,0.09798345212
144,0.004516473271,-0.01273755632
145,-0.05578231433,0.01653038077
146,-0.0005942622633,0.00560116097
147,-0.05929064316,-0.1087852519
148,-0.01007875836,-0.00244979701
149,0.01367009383,-0.001404029101
150,0.04384484182,-0.0198050438
151,0.001838609217,0.003448928472
152,0.01104265285,-0.04749241915
153,0.0153516557,-0.002403197781
154,-0.007475702301,0.003695918882
155,-0.06135784817,0.01774141664
156,0.0005984330518,0.008993519622
157,-0.008789424341,-0.01131567963
158,-0.008729078896,-0.006563773127
159,0.005251018847,-0.003711936308
160,0.01079168187,-0.005814967367
161,0.01656519083,-0.01864819418
162,0.01092362263,0.01111262965
163,0.02009269729,0.01383827809
164,-0.03122752835,0.00312780931
165,0.009722089465,-0.007662948341
166,0.02266586777,-0.006617214779
167,0.02439848964,-0.01626902978
168,0.0004839757866,-0.002848381654
169,0.02047822866,0.005484017661
170,-0.00624776852,-0.00281373624
171,0.01027753311,-0.006841436827
172,-0.01001735853,0.00415893007
173,0.003633110442,0.00623191036
174,0.02769752813,-0.002421168065
175,0.0123988826,-0.006356287465
176,-0.02005862546,0.00460715236
177,0.01488115192,-0.008908955866
178,0.01156932855,0.000742080242
179,0.007580475804,-0.006934709558
180,0.01132136348,0.0009825051379
181,-0.00995030136,-0.002037357127
182,-0.02465713022,-0.00558042254
183,0.005587519779,0.02449326126
184,-0.01444115677,-0.009205461112
185,-0.007854329803,0.01946045425
186,0.03358846786,-0.03402702636
187,0.00180952337,0.001555311517
188,-0.002199689362,0.006243543662
189,-0.01614085694,0.004148052371
190,0.008231998952,0.01295511564
191,0.01335005404,-0.0310434108
192,0.01242560308,-0.003449237544
193,0.002630223912,-0.006753047649
194,-0.01066504602,-0.004132265202
195,-0.003911184103,0.001314444639
196,0.01297964072,-0.001176697181
197,0.01946792677,-0.0174286071
198,-0.00543146256,0.003206336011
199,-0.02340151611,-0.03029693205
200,-0.001880416278,0.01899069743
201,0.01071011321,-0.01506220807
202,-0.0004363195477,-0.003816822355
203,-0.006230317057,0.005240258935
204,0.01636898901,-0.008586206361
205,0.0003914444556,0.003502967595
206,-0.01769653424,0.006304644091
207,0.0002473896553,-0.007923429805
208,-0.02037313604,0.004925132139
209,-0.00515797615,0.01418091061
210,-0.004136966824,0.005843484049
211,0.01225850327,-0.006414469362
212,-0.01641528636,0.03278629147
213,-0.02990600742,0.009244591751
214,-0.003307860315,-0.01069021143
215,0.06030302249,-0.01990593258
216,-0.008556130234,0.01116146364
217,-0.00343497486,-0.008199395654
218,0.001237970424,-0.002911899274
219,-0.01765530333,-0.008806025512
220,0.007412545045,-0.01761613301
221,-0.01673514325,-0.01279051664
222,0.0194836839,0.02974417931
223,-0.007460295508,0.04604851695
224,0.0062633343,0.003511780346
225,-0.006193751842,0.004325887971
226,-0.007520162663,0.0006048062881
227,-0.08006151844,0.06427127363
228,0.0653930473,-0.01747680193
229,0.02220305163,-0.004791337569
230,-0.001022415554,-0.01301631982
231,-0.01207152278,-0.003644061863
232,0.01254140323,-0.009694817255
233,-0.007261809758,0.003532896477
234,0.01492788089,-0.03038194885
235,0.01270690508,-0.02944995787
236,0.01633908831,0.002572129936
237,-0.01461982666,0.007163276022
238,-0.005138926472,-0.01511511111
