draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
1011,0.8913077879,0.4291901984,0.7811692175,1.562338435,55.12574291,6.530524234,-0.5717773227
1012,0.787985403,0.425216343,0.6634094188,1.326818838,60.78986605,5.922039698,-0.4880140459
1013,0.8300701819,0.4111696982,0.7210797363,1.442159473,58.66560215,6.136474984,-0.5200319975
1014,0.7916345376,0.4473814012,0.6530965648,1.30619313,60.02502475,5.997498569,-0.4996217034
1015,0.8351713409,0.3634166769,0.7519571048,1.50391421,59.24191362,6.07677872,-0.5114143725
1016,0.8198438335,0.4441487181,0.6891123476,1.378224695,58.50874598,6.152926267,-0.5223684064
1017,0.8510418502,0.3516950688,0.7749727797,1.549945559,58.53396534,6.150275279,-0.5219930219
1018,0.7120474848,0.325914134,0.6330810358,1.266162072,67.90434553,5.301575285,-0.3761539905
1019,0.8488095096,0.3783910472,0.7598011576,1.519602315,58.23373381,6.181983817,-0.5264553162
1020,0.8077481487,0.4488914666,0.6715307312,1.343061462,59.06519663,6.094959816,-0.5140623746
1021,0.8519631224,0.3488761114,0.7772558272,1.554511654,58.52475593,6.151243081,-0.5221301135
1022,0.7131439729,0.3729997507,0.6078202959,1.215640592,66.95449436,5.376786181,-0.3914620916
1023,0.8451725451,0.344475422,0.7717857958,1.543571592,58.96832301,6.104972664,-0.5155118964
1024,0.8507679716,0.4886402347,0.6964458791,1.392891758,55.77175781,6.454879928,-0.5624909935
1025,0.8125276508,0.5155055218,0.6280567175,1.256113435,56.8503378,6.332416199,-0.5468278643
1026,0.8357707216,0.3031449174,0.7788554796,1.557710959,60.06402665,5.993604161,-0.4990319256
1027,0.8910149227,0.4287706821,0.7810654868,1.562130974,55.14795158,6.527894322,-0.5714592774
1028,0.7702880318,0.3927132472,0.662661269,1.325322538,62.61004131,5.749876417,-0.4600441846
1029,0.8072746805,0.4335353715,0.6809842079,1.361968416,59.46490469,6.053991037,-0.5080660403
1030,0.8024653032,0.5257870732,0.6062165591,1.212433118,56.98212596,6.317770598,-0.5449006409
1031,0.762359122,0.4467987556,0.6177072955,1.235414591,61.80146356,5.825104767,-0.4725282527
1032,0.8701059366,0.482425278,0.7241202884,1.448240577,54.99735304,6.545769571,-0.5736142791
1033,0.8059881947,0.3453262995,0.7282628075,1.456525615,61.24526443,5.878005481,-0.4810612299
1034,0.7617939797,0.2151147386,0.7307911581,1.461582316,65.67622017,5.481436037,-0.4118925886
1035,0.8324614152,0.4863150546,0.6756401967,1.351280393,56.74864279,6.34376405,-0.5483130391
1036,0.8074893674,0.4037826131,0.6992844056,1.398568811,60.10414349,5.989603696,-0.4984250466
1037,0.7723142624,0.4448445298,0.6313340354,1.262668071,61.2424941,5.878271375,-0.4811036184
1038,0.8189208617,0.2775224137,0.7704626452,1.54092529,61.36782154,5.866266571,-0.4791848753
1039,0.8597411107,0.4878582687,0.7079188422,1.415837684,55.35646601,6.503305322,-0.5684690096
1040,0.8335289897,0.4038247132,0.729174998,1.458349996,58.61830777,6.14142601,-0.5207368695
1041,0.8203071385,0.2020137888,0.7950435401,1.59008708,61.99035698,5.807354846,-0.4696201584
1042,0.7585039871,0.4300770073,0.6247896175,1.249579235,62.49398215,5.760554658,-0.4618417745
1043,0.8307604063,0.4310871597,0.7101596393,1.420319279,58.20902089,6.184608408,-0.5268219783
1044,0.8368340819,0.4917742766,0.6770888727,1.354177745,56.37449911,6.385866051,-0.5537622064
1045,0.8219950616,0.3430847799,0.7469730351,1.49394607,60.32257712,5.967914788,-0.4951163501
1046,0.8002668362,0.397795971,0.6943956902,1.38879138,60.65293861,5.935409037,-0.4900985835
1047,0.8701685008,0.4398519715,0.7508151989,1.501630398,55.96005398,6.433160342,-0.5597707639
1048,0.859444784,0.3437645348,0.7876999945,1.575399989,58.18683283,6.186966749,-0.5271510958
1049,0.7954537326,0.310451399,0.7323705139,1.464741028,62.40782885,5.768507039,-0.4631749407
1050,0.7537819339,0.2944875894,0.6938762596,1.387752519,65.36547808,5.507494332,-0.4168285507
1051,0.8463468163,0.3622764142,0.7648913212,1.529782642,58.63213966,6.139977188,-0.5205307567
1052,0.8360176968,0.3481839583,0.7600615241,1.520123048,59.43204273,6.057338491,-0.5085599652
1053,0.9149183786,0.4654600698,0.7876690694,1.575338139,53.30162689,6.754015234,-0.5976023807
1054,0.8647205917,0.4202267055,0.7557454715,1.511490943,56.63069078,6.356977021,-0.5500334705
1055,0.8319094054,0.3929632081,0.7332483726,1.466496745,58.91435016,6.110565576,-0.5163188541
1056,0.8266585011,0.4261848296,0.708329562,1.416659124,58.54121952,6.149513163,-0.5218850263
1057,0.9192304269,0.5071050527,0.7667000999,1.5334002,52.18735709,6.898222483,-0.6130813947
1058,0.7202755361,0.4037137619,0.5964998294,1.192999659,65.74255301,5.475905384,-0.410837355
1059,0.8712438549,0.4449405159,0.7490619413,1.498123883,55.79979672,6.451636406,-0.5620863122
1060,0.8312208477,0.4686857731,0.6864850645,1.372970129,57.28744122,6.284099836,-0.54042476
1061,0.8542627542,0.3257739189,0.7897064056,1.579412811,58.72035418,6.130753212,-0.5192155348
1062,0.7136364879,0.361246098,0.6154496678,1.230899336,67.15524953,5.360712715,-0.388235483
1063,0.8679573733,0.4848237966,0.7199276964,1.439855393,55.04000735,6.540696801,-0.5730043155
1064,0.7356154588,0.2651831888,0.6861544867,1.372308973,67.00885877,5.372423984,-0.3905888002
1065,0.8228280838,0.382303625,0.7286219828,1.457243966,59.62539087,6.037696269,-0.5056514878
1066,0.796418603,0.4012680301,0.687943718,1.375887436,60.81245025,5.919840403,-0.4876699636
1067,0.7925655776,0.4701725289,0.6380423088,1.276084618,59.34527487,6.066194837,-0.5098633071
1068,0.7428046719,0.4359743645,0.6014026388,1.202805278,63.35440985,5.682319523,-0.4484704229
1069,0.7364848733,0.3763337556,0.633074145,1.26614829,65.20830541,5.520769138,-0.4193204896
1070,0.7330895674,0.3914394289,0.6198350484,1.239670097,65.122632,5.528032098,-0.4206774956
1071,0.7424415189,0.3345264152,0.6628057683,1.325611537,65.56005303,5.4911487,-0.4137392636
1072,0.8013563992,0.4415485933,0.6687353126,1.337470625,59.6110024,6.039153604,-0.5058681279
1073,0.860574814,0.4310665378,0.7448292761,1.489658552,56.62871499,6.357198818,-0.5500622694
1074,0.8336018802,0.5020632228,0.6654506855,1.330901371,56.23499268,6.401707955,-0.5557879984
1075,0.8465777103,0.471484044,0.7031334268,1.406266854,56.42640347,6.379991952,-0.5530076575
1076,0.8580885564,0.2155259788,0.8305808348,1.66116167,59.65046741,6.035158073,-0.5052738464
1077,0.8762882618,0.3503484343,0.8032042656,1.606408531,57.18733643,6.295099973,-0.5418939799
1078,0.7462572137,0.3786347975,0.6430672742,1.286134548,64.48748245,5.582478744,-0.4307082766
1079,0.8483812243,0.3662644417,0.7652457517,1.530491503,58.45606681,6.158471133,-0.5231521974
1080,0.7180113506,0.4096458013,0.5896868805,1.179373761,65.75761498,5.474651112,-0.4105976699
1081,0.8210175341,0.3348505656,0.7496298354,1.499259671,60.50291605,5.950126432,-0.492379263
1082,0.7882323101,0.4167071497,0.6690779671,1.338155934,60.97156481,5.90439168,-0.4852436235
1083,0.8129697633,0.4226638894,0.6944602743,1.388920549,59.38672695,6.061960618,-0.5092408003
1084,0.8303752741,0.4215316297,0.7154258739,1.430851748,58.43544367,6.160644591,-0.52345892
1085,0.8474574569,0.3916996828,0.7515021621,1.503004324,58.07718748,6.198647277,-0.528776314
1086,0.8186540824,0.3832866983,0.7233849691,1.446769938,59.84886991,6.015151172,-0.5022825885
1087,0.75108797,0.4728127208,0.5835934114,1.167186823,61.70757646,5.833967571,-0.4739717757
1088,0.7226357698,0.2881509992,0.6627001263,1.325400253,67.66971265,5.319957569,-0.3799451853
1089,0.8422844869,0.5237968533,0.6596059532,1.319211906,55.14117372,6.52869672,-0.5715563507
1090,0.8090386327,0.2610074678,0.7657797405,1.531559481,62.15355494,5.792106346,-0.4671035454
1091,0.8242535713,0.2505151654,0.7852618046,1.570523609,61.32944281,5.869937562,-0.4797726914
1092,0.8270068757,0.3483799668,0.7500478459,1.500095692,59.94846121,6.00515831,-0.5007788062
1093,0.8424704915,0.4087462143,0.7366702528,1.473340506,58.03167816,6.203508349,-0.5294503075
1094,0.8346695069,0.4237475448,0.7191044459,1.438208892,58.15343306,6.190520165,-0.5276463686
1095,0.7269479597,0.3854872227,0.6163221051,1.23264421,65.686624,5.480567855,-0.4117271193
1096,0.7530155187,0.3873629609,0.6457416727,1.291483345,63.85087703,5.638137121,-0.4407089389
1097,0.7631174372,0.3020286938,0.70080446,1.40160892,64.62790671,5.57034907,-0.4284951005
1098,0.8812446634,0.5328019865,0.701936037,1.403872074,53.12278268,6.776753435,-0.600102197
1099,0.9229987689,0.3777640152,0.8421526442,1.684305288,54.44479593,6.61220221,-0.5814870805
1100,0.7580311018,0.2887739714,0.7008714181,1.401742836,65.14861468,5.525827399,-0.4202660476
1101,0.7833119827,0.4644516307,0.6307633034,1.261526607,60.04046337,5.99595639,-0.4993882717
1102,0.8560305022,0.4583345545,0.7229921554,1.445984311,56.26642258,6.39813202,-0.5553318876
1103,0.805510421,0.4058712381,0.695784145,1.39156829,60.17720451,5.982331731,-0.4973191677
1104,0.8271935864,0.377317958,0.7361252529,1.472250506,59.46312909,6.054171812,-0.5080927324
1105,0.766727117,0.4253680327,0.6379126184,1.275825237,62.0920646,5.797842322,-0.4680522103
1106,0.8352415472,0.4054144237,0.7302517286,1.460503457,58.49260775,6.154623872,-0.5226085672
1107,0.866370874,0.3442752426,0.7950302187,1.590060437,57.80303217,6.22804698,-0.5328314936
1108,0.7403412627,0.350329095,0.6522075671,1.304415134,65.43623273,5.501539208,-0.4157057259
1109,0.6947815216,0.4184434494,0.554640823,1.109281646,67.23759936,5.354147136,-0.3869105464
1110,0.8124653034,0.3359208204,0.7397682554,1.479536511,60.99765214,5.901866504,-0.4848454599
1111,0.7962224728,0.4260630493,0.6726369781,1.345273956,60.28040977,5.972089463,-0.4957556368
1112,0.9286761425,0.4154312108,0.8305758766,1.661151753,53.59615545,6.716899691,-0.5934728936
1113,0.8409135805,0.442190209,0.7152646147,1.430529229,57.41678332,6.26994372,-0.5385239872
1114,0.833139917,0.4514640957,0.7002158892,1.400431778,57.61449188,6.248427926,-0.5356132211
1115,0.7837947692,0.4631025818,0.6323529385,1.264705877,60.05132603,5.994871783,-0.4992240067
1116,0.8196309175,0.3844291852,0.7238846886,1.447769377,59.77139917,6.022947513,-0.5034513115
1117,0.8507885107,0.475383269,0.7055861659,1.411172332,56.11640195,6.415236677,-0.5575074801
1118,0.746800132,0.4262731094,0.6131897531,1.226379506,63.35162011,5.682569749,-0.4485139415
1119,0.8124063902,0.3556936323,0.7304013846,1.460802769,60.69272223,5.931518423,-0.489493219
1120,0.8085297137,0.3687243383,0.7195572668,1.439114534,60.70462719,5.930355175,-0.4893120221
1121,0.7875281723,0.4222309935,0.6647718483,1.329543697,60.88727801,5.912565182,-0.4865293813
1122,0.7986699878,0.4896174726,0.6309900791,1.261980158,58.42068427,6.162201016,-0.5236783911
1123,0.8341489106,0.4455668665,0.7051769795,1.410353959,57.69941811,6.239231032,-0.5343609338
1124,0.8368851558,0.3991027246,0.7355907689,1.471181538,58.52230695,6.151500493,-0.522166567
1125,0.8306838172,0.4750402694,0.6814487116,1.362897423,57.148235,6.299407147,-0.5424674155
1126,0.8676469033,0.4830373449,0.7207538222,1.441507644,55.09966216,6.533615377,-0.5721507093
1127,0.8925746396,0.4113018772,0.7921617594,1.584323519,55.38952897,6.499423387,-0.567994167
1128,0.82606222,0.5152829849,0.6456486946,1.291297389,56.19052345,6.406774273,-0.5564330502
1129,0.7965879886,0.3096425357,0.7339440876,1.467888175,62.34756105,5.774083122,-0.4641069231
1130,0.7569384194,0.3976345859,0.6440826864,1.288165373,63.36990986,5.680929652,-0.4482286108
1131,0.842312772,0.4021110058,0.7401334642,1.480266928,58.16709834,6.189065816,-0.5274437529
1132,0.8440861771,0.3572304458,0.7647665545,1.529533109,58.83715771,6.118582441,-0.5174721759
1133,0.7522818641,0.4594506713,0.5956786749,1.19135735,62.06001972,5.800836055,-0.4685463809
1134,0.7808200784,0.3108961406,0.7162566472,1.432513294,63.33573617,5.683994878,-0.4487617032
1135,0.7811199622,0.401868434,0.6698135241,1.339627048,61.73376641,5.831492567,-0.4735692305
1136,0.8524102046,0.4642045059,0.7149247048,1.42984941,56.31067113,6.393104411,-0.5546894694
1137,0.76059328,0.3143136258,0.6926103394,1.385220679,64.62521349,5.57058121,-0.4285375715
1138,0.8058012547,0.3827908202,0.7090746434,1.418149287,60.6139465,5.939227205,-0.4906916749
1139,0.7885311893,0.3647134651,0.699117676,1.398235352,61.99655161,5.806774581,-0.4695247028
1140,0.6967667821,0.3232945086,0.6172233059,1.234446612,69.11707279,5.208553914,-0.3564596126
1141,0.7970568798,0.4196429257,0.6776425936,1.355285187,60.37794514,5.962442067,-0.4942765247
1142,0.8333083742,0.3903820868,0.7362096664,1.472419333,58.88329646,6.113788148,-0.5167829359
1143,0.8214573809,0.4568595152,0.6826943767,1.365388753,58.10892889,6.195261328,-0.5283060258
1144,0.9593712852,0.360079336,0.8892334534,1.778466907,52.98735293,6.794074059,-0.6019912937
1145,0.8957089284,0.383299042,0.8095531661,1.619106332,55.69735537,6.463502577,-0.563564179
1146,0.8252381425,0.4418030556,0.697013667,1.394027334,58.26826078,6.178320671,-0.5259428806
1147,0.8365726948,0.3330324057,0.7674264072,1.534852814,59.62180631,6.038059265,-0.5057054617
1148,0.7746209247,0.4400943486,0.6374594428,1.274918886,61.22821779,5.879641986,-0.4813220406
