dim,e_v,e_m
0,-0.04858036168,0.03092572511
1,-0.007417315214,0.005674833436
2,0.01029727726,-0.0009372477728
3,0.01925398391,0.002767726098
4,0.03038612061,-0.00924731492
5,0.01420862081,-0.004092572418
6,0.006206583463,0.001658567584
7,0.004346288096,0.002781059779
8,0.01340481898,-0.005443638306
9,-0.008504303688,-0.002858304229
10,0.03143416086,-0.007427783939
11,0.04419582491,-0.0108706909
12,-0.009415374812,0.001299733124
13,0.001664320732,-0.001409890127
14,0.001814193446,-0.0007105739248
15,0.00727381742,-0.000538515394
16,-0.001424750999,0.00140713995
17,0.01572998315,-0.01207652682
18,-0.003543233553,0.0030128595
19,-0.003567016261,0.007087102472
20,0.007743736695,0.003392764393
21,0.002163451482,-0.001412042899
22,-0.01523158834,0.007329358044
23,-0.001682622486,-0.004802651551
24,-0.01631900323,-0.0002598434019
25,-0.001652429118,0.0005926683228
26,0.02445315146,-0.006230849069
27,0.03146854565,-0.01344442297
28,-0.04352728535,0.01224441424
29,-0.004018471571,-0.004816913119
30,0.01202906846,-0.003538470097
31,0.01494778007,-0.009123251682
32,-0.005732395176,-0.0006801956071
33,-0.03502909552,0.01993488986
34,-0.0165569035,0.002201693683
35,-0.006332297948,0.001344355833
36,-0.000167633828,0.004241747509
37,0.005946966962,-0.004138065245
38,-0.01355338,-0.0002322405872
39,0.028228699,0.005880759571
40,-0.003433082326,0.002501585331
41,-0.002466216379,0.002184533334
42,-0.0155217925,0.001637651876
43,0.001658831514,0.0002904900766
44,0.0009087636509,-0.01952641886
45,-0.003795399618,-0.002557793808
46,-0.009124254041,0.003431424807
47,0.004526979903,0.003706459707
48,-0.0164790667,0.002112657061
49,0.03015861171,-0.009353961037
50,0.05490281065,-0.01545212619
51,0.00597713135,0.006455553784
52,-0.00844391621,0.0003241451671
53,-0.008081317473,0.00406339147
54,0.01538266322,-0.002891266128
55,0.02972250394,-0.006025662022
56,0.04140218297,-0.01695837219
57,0.03563910203,-0.004656717166
58,0.03464109729,-0.002368172251
59,-0.007153060022,0.005280113853
60,-0.02846706247,0.004254032012
61,0.02715174386,-0.002387910927
62,0.01782792899,-0.01573989358
63,-0.02051863305,0.004484716633
64,0.0094620172,-0.003856400786
65,-0.04047428642,0.01500262039
66,0.000291939692,0.004836671535
67,-0.005650817088,0.01818499265
68,0.006859809422,-0.003676571766
69,-0.007568195829,0.003671802799
70,0.01149370225,-0.007311863413
71,0.02646134246,-0.01881288571
72,-0.000910619243,0.003491486052
73,0.04364654385,-0.009077036722
74,-0.00478628184,-0.001751190316
75,-0.035923461,-3.825792983e-05
76,-0.02073759101,0.005864099738
77,-0.002802922689,-0.003513995497
78,-0.03574157007,0.006492953597
79,-0.0001091241216,-0.0004367907403
80,-0.003080827454,0.001190935104
81,5.334909441e-05,0.01803652241
