level,valence,markedness,se_valence,se_markedness
negative,-6.817746894,-5.754014525,0.8565134732,2.931952556
neutral,4.546550572,11.50802905,0.7182470508,2.370735837
positive,2.271196321,-5.754014525,0.6556851834,2.183310854
