panel,level,pc1,pc2
raw,negative,-4.93037881,-10.72795304
raw,neutral,2.300674933,7.132464974
raw,positive,2.629703877,3.595488061
centered,negative,-15.0996839,-0.3999194366
centered,neutral,6.807894777,8.184070537
centered,positive,8.291789127,-7.7841511
