layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.908891201,0.1256776452,0.2994991541
2,-0.8636546135,0.1255800128,0.3916357756
3,-0.7549960613,0.2483236194,0.4477065802
4,-0.7015850544,0.2573863864,0.507999301
5,-0.7060800791,0.2383313179,0.5194453597
6,-0.6558021307,0.2412009239,0.5744634271
7,-0.6293709278,0.1496163607,0.6741938591
8,-0.6163215637,0.1619639993,0.6772750616
9,-0.6045780182,0.2063301802,0.6546635032
10,-0.5955550671,0.1939342618,0.6725646853
11,-0.5064595938,0.1856951118,0.7532196641
12,-0.4743388891,0.1927990913,0.7723734379
13,-0.5081875324,0.147451818,0.7768992782
14,-0.4999434948,0.1653210521,0.7714897394
15,-0.4640879631,0.198389411,0.776112318
16,-0.4607305527,0.183329463,0.7880321145
17,-0.4380159378,0.2042361498,0.7905597687
18,-0.3941254616,0.2473352551,0.7930203676
19,-0.4203822613,0.2246988416,0.7896852493
20,-0.3753721714,0.2383273244,0.8107047677
21,-0.3967460394,0.2010663152,0.8194098473
22,-0.3606770039,0.2519453764,0.8117325902
23,-0.3899512291,0.2301437855,0.8063722849
24,-0.3767814636,0.2430496812,0.8069492579
25,-0.3988208771,0.1799700856,0.8302798867
26,-0.383584857,0.1948983669,0.8310358524
27,-0.3882768154,0.1689213514,0.8427114487
28,-0.3862503767,0.1834874153,0.8358615041
29,-0.3888596296,0.1564598083,0.8491097093
30,-0.3777110577,0.1523346901,0.8575784564
31,-0.4014132023,0.1174872518,0.8623930812
32,-0.4360786676,0.08463156223,0.8597738743
33,-0.4488495588,0.07364273071,0.8581262827
34,-0.4694879055,0.05251556635,0.8570650816
35,-0.5672333241,0.168295145,0.7163478732
