scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.443145419,0.9916060502
politeness-apology-013,0.1872553112,0.9557445057
politeness-apology-043,0.4682267183,0.96641455
politeness-apology-057,1.112092367,0.7925601453
politeness-apology-065,2.392817575,0.9273069845
politeness-apology-067,0.4746196421,0.9254548725
politeness-apology-081,0.977437403,0.9686488062
politeness-apology-098,0.5941349623,0.9001353403
politeness-bad-news-delivery-020,1.449953428,0.7671401392
politeness-bad-news-delivery-028,1.943819494,0.9789935074
politeness-bad-news-delivery-066,1.257104386,0.9395106186
politeness-bad-news-delivery-073,0.9369108426,0.5908117776
politeness-complaint-030,0.651170278,0.9447662222
politeness-complaint-032,2.116950854,0.9341354975
politeness-complaint-040,1.056547927,0.9019488792
politeness-complaint-049,0.7357469198,0.6088008233
politeness-complaint-063,0.2142136041,0.9425315929
politeness-complaint-072,0.2447402202,0.9378932473
politeness-complaint-089,0.4377758271,0.863734413
politeness-correction-002,0.4346130216,0.9432092646
politeness-correction-005,0.9356432317,0.8810029302
politeness-correction-007,1.517472276,0.8801976111
politeness-correction-024,0.3200014037,0.9082794374
politeness-correction-027,0.5418237439,0.7215885573
politeness-correction-045,0.8624925823,0.7218435981
politeness-correction-051,0.3863396149,0.9593496877
politeness-correction-076,0.6444253778,0.949180788
politeness-correction-087,0.4705126546,0.8413318427
politeness-criticism-or-feedback-023,1.450312629,0.9269676643
politeness-criticism-or-feedback-036,0.8277749986,0.6609598168
politeness-criticism-or-feedback-041,0.6473558564,0.7816254924
politeness-criticism-or-feedback-050,0.5985806821,0.9206631954
politeness-criticism-or-feedback-054,0.724487263,0.8792207503
politeness-criticism-or-feedback-071,0.9588932499,0.7893419218
politeness-criticism-or-feedback-099,0.8212406931,0.9845879556
politeness-criticism-or-feedback-100,2.344583011,0.883254976
politeness-disagreement-012,0.7112202505,0.9302870271
politeness-disagreement-035,1.709396661,0.8074128896
politeness-disagreement-047,0.4792950128,0.7990966935
politeness-disagreement-048,1.094203629,0.6318629889
politeness-disagreement-075,0.7876986431,0.8704005759
politeness-disagreement-086,0.3361984835,0.8795730143
politeness-inquiry-sensitive-008,0.1954437208,0.9657767551
politeness-inquiry-sensitive-009,0.7742995469,0.6607411699
politeness-inquiry-sensitive-016,0.5545824984,0.9601819229
politeness-inquiry-sensitive-092,0.5912977833,0.7903597831
politeness-refusal-038,0.6700186678,0.8609106409
politeness-refusal-058,3.013495511,0.9259034511
politeness-refusal-064,1.593927137,0.7785616917
politeness-refusal-069,0.3772246735,0.9554052934
politeness-refusal-077,1.487530463,0.775824354
politeness-refusal-080,0.5570634156,0.7993200252
politeness-refusal-083,1.548665981,0.8677073716
politeness-refusal-090,1.294783724,0.7465285058
politeness-reminder-017,0.5577240742,0.9433764182
politeness-reminder-018,0.7991067017,0.8781254205
politeness-reminder-019,1.150694307,0.8344377169
politeness-reminder-021,0.7973725066,0.7078097523
politeness-reminder-079,1.192944946,0.6712540867
politeness-reminder-094,4.254651253,0.9867648964
politeness-request-001,0.6511643016,0.8475532601
politeness-request-006,2.174485825,0.9658183826
politeness-request-025,0.2458229172,0.9667675274
politeness-request-029,0.4352720212,0.8515504109
politeness-request-031,0.435235808,0.914224405
politeness-request-037,1.296611444,0.8262828035
politeness-request-053,2.647074819,0.9040485801
politeness-request-056,3.483850934,0.9513057092
politeness-request-061,1.666793637,0.799685255
politeness-request-074,0.426593606,0.9705499379
politeness-request-093,1.011528781,0.9310224475
politeness-request-097,3.264318237,0.9743608257
