metric,value
span,9.420911278
midpoint_residual,0.8249266614
valence_offset,0.4242608179
markedness,0.7074650204
markedness_ratio,1.414930041
apex_angle_deg,58.67880575
effective_vertices,6.135094186
step_cosine,-0.5198351487
