layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.687253419,0.2992135433,0,3
2,0.730577839,0.2862746745,0,3
3,0.7687291684,-0.05380357144,0,3
4,0.856875861,0.2888237843,0,3
5,0.8286404847,0.2894973233,5.131601323e-10,3
6,0.8093394872,0.2765745386,3.214550203e-10,3
7,0.8353948221,0.2860263988,2.645751215e-10,3
8,0.8448861293,0.2808570497,2.309400947e-10,3
9,0.8426085361,0.2804290147,1.527525055e-10,3
10,0.8857004655,0.3049488391,9.999998052e-11,3
11,0.8758591956,0.2966179324,6.806859319e-10,3
12,0.8858636748,0.3083287265,5.223877869e-08,3
13,0.8809033574,0.2828859798,6.473278381e-09,3
14,0.8897608694,0.2884009902,9.440515514e-09,3
15,0.88005276,0.2966145255,9.148406056e-09,3
16,0.8560394214,0.3438637367,3.26653231e-08,3
17,0.849055497,0.5909205437,0.001798595197,3
18,0.8558199182,0.6213986691,0.0001116166747,3
19,0.8634627574,0.568220449,0.009175077553,3
20,0.8371350467,0.6526878942,0.001446403789,3
21,0.8490452106,0.5806301452,0.006084069193,3
22,0.8563042118,0.2671943293,0.004382467396,3
23,0.794825964,0.3243454759,2.081665861e-10,3
