layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.8244582415,0.08245402575,0.4960157871
2,-0.6939849854,0.06142318249,0.6760032177
3,-0.6699950695,0.09468281269,0.6755934954
4,-0.6967793703,0.06745070219,0.6686537266
5,-0.6449693441,0.1531865597,0.6563882232
6,-0.6911531687,0.06345450878,0.6773949862
7,-0.6132302284,0.1345552206,0.7002075911
8,-0.6044564247,0.1167274117,0.7206357718
9,-0.5730122328,0.1396861672,0.7314699888
10,-0.5161106586,0.1064069867,0.796741426
11,-0.4649057388,0.152977407,0.8038191199
12,-0.472697854,0.1535348296,0.7982006073
13,-0.487954855,0.1480512619,0.7910072207
14,-0.5198351145,0.1064488888,0.7940769196
15,-0.452347517,0.1652908921,0.8048054576
16,-0.4529961348,0.1740193963,0.7990799546
17,-0.4444265366,0.13742733,0.8262392879
18,-0.454709053,0.1113265753,0.8344825506
19,-0.4304875135,0.1328939199,0.8373815417
20,-0.4170598984,0.1561353207,0.8326144814
21,-0.387994051,0.1549397111,0.8504161835
22,-0.4110244513,0.1295833588,0.8506761193
23,-0.4157681465,0.129437089,0.8480039835
24,-0.4288960695,0.1133315563,0.8489263654
25,-0.4162927866,0.1230492592,0.8510964513
26,-0.4523456097,0.0958366394,0.8443863392
27,-0.6311656237,0.1465508342,0.6747757792
