level,valence,markedness,se_valence,se_markedness
negative,-27.01921213,-8.068744966,0.9874620382,1.093044241
neutral,8.931722544,16.13748993,0.8002585286,1.002451566
positive,18.08748959,-8.068744966,0.7727633228,1.077995382
