panel,level,pc1,pc2
raw,negative,6.987029383,-1.750093484
raw,neutral,-11.64729332,2.336961071
raw,positive,4.66026394,-0.5868675869
centered,negative,7.20743671,-5.231140829
centered,neutral,-11.82722732,2.299007393
centered,positive,4.619790614,2.932133436
