row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.02218505169,0.6289708508,0.8145448852,0.05174928294
KMeans,0.02218505169,1,-0.007366244124,0.3956117054,0.006087086594
LogReg,0.6289708508,-0.007366244124,1,0.3310431584,0.03523407394
PCA,0.8145448852,0.3956117054,0.3310431584,1,0.05635144514
Random,0.05174928294,0.006087086594,0.03523407394,0.05635144514,1
