metric,value
span,9.420699297
midpoint_residual,0.8257434857
valence_offset,0.4241616896
markedness,0.7084766512
markedness_ratio,1.416953302
apex_angle_deg,58.63558237
effective_vertices,6.139616688
step_cosine,-0.5204794512
