row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.9423252469,0.2271459427,0.9428504726,0.006228237543
KMeans,0.9423252469,1,0.0147948266,0.9998733577,0.01557203355
LogReg,0.2271459427,0.0147948266,1,0.01490123136,-0.02659277033
PCA,0.9428504726,0.9998733577,0.01490123136,1,0.01528474832
Random,0.006228237543,0.01557203355,-0.02659277033,0.01528474832,1
