row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.2146544226,9.358785632e-06,0.4970161051,6.151815705e-06,3
neutral-negative,-0.2146544226,9.358785632e-06,1,0,0.7941521363,3.186075898e-05,3
positive-negative,0.4970161051,6.151815705e-06,0.7941521363,3.186075898e-05,1,0,3
