sim,step_cosine,midpoint_residual
0,0.4983858696,0.2899123708
1,-0.05447459504,0.5262275434
2,0.6399702044,0.250785425
3,0.9292234416,0.1063715768
4,0.1440915449,0.4355691146
5,0.9635324072,0.07000936656
6,0.4560750269,0.3380682159
7,0.9142613869,0.1510551662
8,0.8620860703,0.1395909381
9,0.921048189,0.1024280266
10,0.8679070326,0.2064965437
11,0.967162862,0.07215635088
12,0.9468440379,0.08368037823
13,-0.4017099181,0.7352772226
14,0.8675803211,0.1441946008
15,0.5786497843,0.2850695278
16,0.6319960234,0.237522364
17,0.1961126022,0.4127068093
18,0.7714350182,0.1858564969
19,0.07270511311,0.4682546011
20,0.7632732061,0.1984099554
21,0.8514397139,0.1420275001
22,0.8063221364,0.1658141777
23,0.6940517761,0.2127290567
24,0.896832967,0.1888536951
25,0.8783996062,0.1274653281
26,0.9362453132,0.1117898056
27,0.7453453955,0.1911492514
28,-0.2253903353,0.6254685505
29,0.9820111362,0.0605119339
30,0.004413119457,0.4978136523
31,0.6732513157,0.2767729509
32,0.9590993573,0.07342079773
33,0.8654099389,0.1410771189
34,0.3548829733,0.3715708049
35,-0.02022008513,0.5086634566
36,-0.2635312428,0.6546285693
37,-0.3603542508,0.7019408839
38,0.7305379647,0.2065462629
39,0.9594554586,0.07199301134
40,0.5778955845,0.2779600099
41,0.8051989606,0.1887192
42,0.365661951,0.349422602
43,0.9254878182,0.112670187
44,0.9488597197,0.08099643576
45,0.7762292874,0.2459563821
46,0.1662534685,0.4231713743
47,-0.05145863638,0.5206742561
48,0.7284504371,0.2053345265
49,0.2496525369,0.4008367034
50,0.8370365593,0.1586878371
51,0.8913310101,0.1430217616
52,0.5836179463,0.2563955154
53,0.806577575,0.2042344213
54,-0.5517395255,0.8670016754
55,0.779891641,0.1860178468
56,0.8415008985,0.1561645741
57,0.2908717019,0.3709802065
58,0.7751547291,0.1952207326
59,0.2866226817,0.3889388961
60,0.7510286275,0.22356934
61,0.05645040675,0.4725503819
62,0.608793679,0.2465622916
63,0.563100448,0.2671069166
64,0.8740384275,0.1439619898
65,0.8497853512,0.1444450027
66,0.9334005905,0.09900440307
67,0.9237914808,0.1112214817
68,0.936639384,0.09154226876
69,0.8583585247,0.1706009189
70,0.897042263,0.1268546269
71,0.5372704196,0.279390508
72,0.9151438931,0.1069108519
73,0.7801289356,0.2126427494
74,0.1599677499,0.4367085815
75,-0.1631815047,0.587786943
76,0.9293526138,0.0981212698
77,0.3641041069,0.3514932676
78,0.05689728225,0.4725670174
79,0.9232938488,0.1002632422
80,-0.0314467734,0.5157221708
81,0.2716625898,0.3824939047
82,0.9316901838,0.1054921765
83,0.948717365,0.08595643211
84,0.4677272354,0.3095640904
85,0.1536475362,0.4304389126
86,0.960325698,0.07782385129
87,0.9731786701,0.05836759886
88,0.6959428605,0.2117184206
89,0.8275681498,0.153960291
90,0.8059598271,0.2372015982
91,0.9375568966,0.09682991241
92,0.8858353488,0.1246613951
93,-0.3858849738,0.7511026861
94,0.9431798152,0.08558897757
95,0.9348814304,0.09359523197
96,0.8456851168,0.1485497108
97,0.1622171227,0.4245885163
98,0.7444128481,0.19201797
99,0.6246821388,0.2877667436
100,0.7932212278,0.2499987978
101,0.655235495,0.2315142789
102,0.9232715944,0.109797474
103,0.9158553283,0.107173659
104,0.6674164357,0.2589099071
105,0.8626058799,0.1523757998
106,0.6071553418,0.3218063452
107,0.9180674951,0.1398360167
108,0.7891193556,0.1729045907
109,0.7887698407,0.1744179389
110,0.9306029135,0.09488055571
111,0.5334788255,0.2805002641
112,0.7227387459,0.2547916556
113,0.8454496457,0.1476123447
114,0.9415733032,0.1050591328
115,0.9256897239,0.2096557578
116,0.9731939977,0.08612985368
117,0.7209520373,0.2014916528
118,0.7207911367,0.2659460005
119,0.1664185518,0.4269646053
120,0.8332779287,0.1966473072
121,0.9076478725,0.1114655895
122,0.8858150268,0.1295174121
123,0.9746393605,0.05721343064
124,0.04361281447,0.4814985835
125,0.6717834003,0.2550495676
126,0.9281312943,0.09653712515
127,0.9089696381,0.1125478511
128,0.9243618443,0.0992853985
129,0.8193930319,0.1610834619
130,0.6280621752,0.25198897
131,0.04298608991,0.4802270827
132,0.5235045449,0.3410227346
133,0.9443952745,0.09605786448
134,0.8799155043,0.1311594995
135,0.2505270081,0.3882585236
136,0.7615722775,0.1858741212
137,0.6196202226,0.2738078593
138,0.9649629123,0.06825936252
139,0.8634889734,0.1519448982
140,0.8084617319,0.1914231837
141,0.8251519809,0.1674133884
142,0.4489816149,0.3162343064
143,0.862996897,0.1378804777
144,-0.2571916354,0.6496428401
145,0.791818107,0.1740225739
146,0.7206318082,0.220216697
147,0.9198698011,0.1563197483
148,0.8928854178,0.1614298589
149,0.9546939147,0.07877756824
150,0.8377255103,0.182546187
151,0.8663777722,0.1349683315
152,0.958084131,0.0776905744
153,0.9248145308,0.1213253703
154,0.7760651899,0.2013036829
155,-0.01254570876,0.5058594835
156,0.9212800353,0.1033828052
157,0.9315094677,0.09417213208
158,-0.1620385731,0.5881167813
159,0.9708146122,0.06827112052
160,0.8662607942,0.1345029954
161,0.1703975949,0.433398529
162,0.7999873795,0.1745867546
163,0.9367699184,0.09053838449
164,0.4623141921,0.3032855894
165,0.8789428292,0.1284702299
166,0.06138488491,0.4720382836
167,0.9814880977,0.04989963481
168,0.946334158,0.08305630558
169,0.8466179227,0.1712169721
170,-0.2217269734,0.6122584667
171,-0.01925910418,0.5087730912
172,0.431031342,0.3246503276
173,0.8932323103,0.1310307304
174,0.6607222169,0.2260263156
175,0.6318990713,0.248014117
176,0.9532881919,0.07945066385
177,0.8408631304,0.1518070193
178,0.5909317664,0.2977148075
179,0.8236733972,0.1840921873
180,0.2350386168,0.4012498465
181,0.9714218947,0.06796776522
182,0.9162255892,0.1099171395
183,0.2173210393,0.4280595386
184,0.2646548211,0.3985570693
185,0.6940360992,0.214488158
186,0.3300214758,0.3804707409
187,0.9530850792,0.07858883028
188,0.9182540966,0.1102785396
189,0.7894719401,0.192293936
190,0.9407511926,0.1329454594
191,0.7670447468,0.1939222128
192,0.04165029341,0.4809563903
193,0.9784240935,0.07993142211
194,0.9351786349,0.1617283901
195,0.004171194893,0.4980769185
196,0.958311583,0.09795265633
197,0.9309066183,0.1479347646
198,0.9506613289,0.08011635235
199,0.8475355092,0.1978103304
200,0.9549891441,0.09860365206
201,0.6473166557,0.2374332191
202,0.960539887,0.07342707431
203,0.9434939964,0.08715251175
204,0.4476755876,0.3204936104
205,0.3024514022,0.3746549655
206,0.9787437453,0.05182484174
207,0.8125935534,0.1619469346
208,0.957160151,0.109172514
209,0.9519842306,0.08119861812
210,0.8284351992,0.15319619
211,0.9251494901,0.1022871693
212,0.9503144076,0.08117881627
213,0.3078338423,0.3650976008
214,0.9035097158,0.119226454
215,0.9479244063,0.08858759811
216,0.1292401594,0.4390621934
217,-0.2256842706,0.5959979411
218,0.9598902786,0.09562863876
219,0.750147933,0.1892576429
220,-0.01021335369,0.5049218373
221,0.7412386466,0.1953220955
222,0.9062028592,0.114980408
223,0.4789118444,0.3106649598
224,-0.4512152412,0.8125148294
225,0.9193823415,0.1091674391
226,0.7539205417,0.2093471723
227,0.1541241348,0.4460623789
228,0.7487128957,0.2056870008
229,0.7841467436,0.1750891293
230,0.9765456143,0.05815347185
231,0.8057222574,0.1675720286
232,0.09267468389,0.4568394537
233,0.7337250789,0.2245094557
234,0.1215563538,0.4472728045
235,0.5583280739,0.2733337758
236,0.9546994156,0.08348625024
237,0.8834190756,0.1809186242
238,0.9381249299,0.1351767404
239,0.09243341591,0.4569945891
240,0.1194925777,0.4437894624
241,0.884136622,0.1455593543
242,-0.5161535768,0.8531070491
243,0.6822827722,0.2356347097
244,0.8913164777,0.1284111313
245,-0.2264404899,0.6183442304
246,-0.3685607533,0.6803238484
247,0.9437655647,0.09890445087
248,-0.2426770687,0.6389852809
249,0.9259633892,0.09868618927
250,0.8629660077,0.1823093419
251,0.9002475628,0.1189656395
252,0.6172385324,0.250163424
253,-0.179685291,0.591606104
254,0.9409342773,0.1022759561
255,-0.2139972651,0.6208186495
256,0.8686415671,0.1518563836
257,0.8388269775,0.1518170271
258,0.6255814046,0.2517582371
259,0.913825932,0.1120913856
260,0.9468693679,0.08730368895
261,-0.1204080181,0.5350147407
262,0.6954087112,0.2264593587
