metric,observed,null_mean,null_sd,null_min,null_max,p_value,n_sim
step_cosine,-0.28896283,0.9463253581,0.009459549127,0.8991107318,0.9709174833,0.000999000999,1000
midpoint_residual,0.6608865138,0.08355709916,0.007580981518,0.0617342235,0.1156551812,0.000999000999,1000
