level,valence,markedness,se_valence,se_markedness
negative,-6.042316225,-2.22478183,0.2311248802,0.4592482215
neutral,2.663933154,4.44956366,0.1790327958,0.3747403515
positive,3.378383072,-2.22478183,0.1647416016,0.4406298002
