component,variance_ratio,cumulative
1,0.1773143181,0.1773143181
2,0.09432210167,0.2716364198
3,0.04669331101,0.3183297308
4,0.03304854967,0.3513782805
5,0.02902211672,0.3804003972
6,0.02346576232,0.4038661595
7,0.02280476422,0.4266709237
8,0.02044443625,0.44711536
