metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.2641675943,0,0.6196344192,3
kendall,0.2027038731,3.399349889e-17,0.4592937187,3
probe_r2,0.7804426054,0.02221074507,0.915885108,3
midpoint_residual,1.385122525,0,0.8598687475,3
pc1_frac,0.8117691304,0,0.8117691304,3
