method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.5911255411,0.030615657,0.7537878788,0.03814378548,
KMeans,0.5699134199,0.02766713032,0.7022727273,0.05268062111,
LogReg,0.9435064935,0.01604361945,0.9930735931,0.009147422775,
PCA,0.5676406926,0.03080520819,0.6951298701,0.05298787949,
