row,MeanDiff_mean,MeanDiff_std,KMeans_mean,KMeans_std,LogReg_mean,LogReg_std,PCA_mean,PCA_std,Random_mean,Random_std,n_seeds
MeanDiff,1,0,0.9361990579,0,0.4277946723,6.798699778e-17,0.9232405796,1.359739956e-16,0.0241371361,0.01099208448,3
KMeans,0.9361990579,0,1,0,0.1552048473,0,0.9986786046,1.359739956e-16,0.01402640787,0.008555052643,3
LogReg,0.4277946723,6.798699778e-17,0.1552048473,0,1,0,0.1287783664,0,0.03597575444,0.008137086305,3
PCA,0.9232405796,1.359739956e-16,0.9986786046,1.359739956e-16,0.1287783664,0,1,0,0.0127908115,0.008854323259,3
Random,0.0241371361,0.01099208448,0.01402640787,0.008555052643,0.03597575444,0.008137086305,0.0127908115,0.008854323259,1,0,3
