panel,level,pc1,pc2
raw,negative,9.654673124,0.193695228
raw,neutral,-14.18652122,-2.026413107
raw,positive,4.531848095,1.832717879
centered,negative,9.761957658,8.195982275
centered,neutral,-14.22508702,-3.772639478
centered,positive,4.463129362,-4.423342797
