scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-2.693078675,-16.31213654
politeness-refusal-080,080,neutral,2.164329812,-8.416092327
politeness-refusal-080,080,positive,0.528748863,24.72822887
politeness-apology-013,013,negative,-16.96965515,18.90456395
politeness-apology-013,013,neutral,5.103662912,-2.487915545
politeness-apology-013,013,positive,11.86599224,-16.4166484
politeness-criticism-or-feedback-054,or-feedback-054,negative,48.54058205,-143.9652049
politeness-criticism-or-feedback-054,or-feedback-054,neutral,86.84129767,-224.828025
politeness-criticism-or-feedback-054,or-feedback-054,positive,-135.3818797,368.7932299
politeness-disagreement-048,048,negative,-5.122654269,-10.94904486
politeness-disagreement-048,048,neutral,5.504759588,-6.358182813
politeness-disagreement-048,048,positive,-0.3821053182,17.30722767
politeness-correction-005,005,negative,1.673805569,-26.95822776
politeness-correction-005,005,neutral,-10.21755742,29.68104958
politeness-correction-005,005,positive,8.54375185,-2.722821829
politeness-complaint-030,030,negative,-60.88140481,137.5332236
politeness-complaint-030,030,neutral,20.55002316,-65.17119626
politeness-complaint-030,030,positive,40.33138166,-72.36202737
politeness-complaint-072,072,negative,-28.98375203,53.93023282
politeness-complaint-072,072,neutral,27.67543098,-66.59665773
politeness-complaint-072,072,positive,1.308321054,12.66642491
politeness-apology-043,043,negative,-19.16455236,20.68672995
politeness-apology-043,043,neutral,8.424993474,-8.002729001
politeness-apology-043,043,positive,10.73955888,-12.68400095
politeness-refusal-038,038,negative,-0.04988116727,-27.89976261
politeness-refusal-038,038,neutral,9.66535065,-13.43268423
politeness-refusal-038,038,positive,-9.615469483,41.33244684
politeness-reminder-019,019,negative,-5.218957364,-4.596809997
politeness-reminder-019,019,neutral,-21.30013702,56.19779138
politeness-reminder-019,019,positive,26.51909438,-51.60098138
politeness-request-037,037,negative,-3.348248585,-18.8328139
politeness-request-037,037,neutral,-6.642483501,25.8903501
politeness-request-037,037,positive,9.990732086,-7.057536194
politeness-apology-067,067,negative,-14.65012897,21.67362205
politeness-apology-067,067,neutral,9.972632054,-28.10970723
politeness-apology-067,067,positive,4.677496914,6.436085171
