metric,value
span,8.840685402
midpoint_residual,0.8015803829
valence_offset,0.3999164567
markedness,0.6946926932
markedness_ratio,1.389385386
apex_angle_deg,60.53169253
effective_vertices,5.94729777
step_cosine,-0.4919420571
