component,variance_ratio,cumulative
1,0.1466472409,0.1466472409
2,0.08432481004,0.2309720509
3,0.04583627227,0.2768083232
4,0.04350372653,0.3203120497
5,0.0322113252,0.3525233749
6,0.02756585683,0.3800892317
7,0.02529702735,0.4053862591
8,0.0229625475,0.4283488066
