step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.7616487696,0.002736600311,0.8646980858,0.001765193327,3
neutral-negative,0.8938253303,0.0004898100316,0.9439363508,0.0002731502614,3
positive-negative,0.8828379623,0.000591721814,0.9377736312,0.0003338876488,3
