panel,level,pc1,pc2
raw,negative,-19.7830465,14.56009072
raw,neutral,8.374590144,-10.03292909
raw,positive,11.40845636,-4.527161627
centered,negative,-27.94412548,0.3040408406
centered,neutral,13.14939594,11.20464071
centered,positive,14.79472954,-11.50868155
