metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.7277567151,0,0.7391236512,3
kendall,0.5746433786,0,0.5826420777,3
probe_r2,0.7223488146,0.03161751739,0.8298266857,3
midpoint_residual,0.8257434857,0,0.7458265502,3
pc1_frac,0.7576465126,0,0.7576465126,3
