method,raw_mean,raw_sd,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.7225623834,0.05054273575,0.8310486397,0,0.05155776031,0,,3
KMeans,0.6481138915,0.02214648918,0.7501576743,0.004081343742,0.03247769408,0.002585808284,,3
LogReg,0.8363064442,0.02167715851,0.9267125963,1.359739956e-16,0.02943059724,0,,3
PCA,0.6572736072,0.02049218094,0.7547027769,0,0.02982082835,0,,3
