metric,value
span,45.10414285
midpoint_residual,0.6132179727
valence_offset,0.2966358309
markedness,0.53669681
markedness_ratio,1.07339362
apex_angle_deg,76.78429823
effective_vertices,4.688458556
step_cosine,-0.2286176685
