metric,observed,null_mean,null_sd,null_min,null_max,p_value,n_sim
step_cosine,-0.2286176702,0.9187478447,0.01487204516,0.8247334325,0.9535387227,0.000999000999,1000
midpoint_residual,0.6132179736,0.103476609,0.009877414038,0.07710920188,0.1558154586,0.000999000999,1000
