component,variance_ratio,cumulative
1,0.5250266794,0.5250266794
2,0.07594517583,0.6009718552
3,0.03546841534,0.6364402705
4,0.02355239451,0.659992665
5,0.01690851461,0.6769011797
6,0.01542896283,0.6923301425
7,0.01342705808,0.7057572006
8,0.01269652823,0.7184537288
