metric,pooled_naive,within_scenario
spearman,0.7749522337,0.8414260758
kendall,0.630844764,0.7010438727
probe_r2,0.7692556393,0.8532517788
midpoint_residual,0.6132179727,0.7168977917
pc1_frac,0.7821730053,0.7821730053
