layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.188884963,0.4346089771,0.1049066195,0.2414444591
2,0.2356870993,0.4854761573,0.08664024227,0.356676756
3,0.3359697355,0.5796289637,0.1944785962,0.4944528891
4,0.2618897951,0.5117516928,0.07770652658,0.4237219868
5,0.2299963248,0.4795793206,0.04329335757,0.3827134711
6,0.2252030298,0.4745556129,0.05502008125,0.3806892367
7,0.2149532329,0.4636304917,0.03985249004,0.3503991091
8,0.1973178349,0.4442047219,0.02974884482,0.3290271234
9,0.1963617781,0.4431272707,0.0335246205,0.3365553193
10,0.190059039,0.4359576115,0.02703297253,0.3286061366
11,0.1948734119,0.4414446873,0.03051396881,0.334491215
12,0.1899223852,0.435800855,0.04738313544,0.317075237
13,0.201294503,0.4486585595,0.04619838463,0.3284238304
14,0.1938940593,0.4403340315,0.06661602325,0.2871873495
15,0.2019772469,0.4494187879,0.09218378044,0.3056265443
16,0.2011575129,0.4485058672,0.1066750408,0.2828567458
17,0.2120787618,0.4605200992,0.1295769657,0.3060692055
18,0.2080443101,0.4561187456,0.1257058509,0.2928720219
19,0.2194251151,0.4684283457,0.124679955,0.2994489204
20,0.222400022,0.4715930682,0.1297995075,0.2940029358
21,0.2439655556,0.4939286949,0.1732928204,0.3020426436
22,0.2379241844,0.4877747271,0.1742014855,0.2884212808
23,0.2534005146,0.5033890291,0.1392105123,0.3574245913
