level,valence,markedness,se_valence,se_markedness
negative,-1.934949899,-0.720761764,0.07720274365,0.1448824343
neutral,0.8353323247,1.441523528,0.06096635499,0.1217283499
positive,1.099617575,-0.720761764,0.06682344493,0.1396351441
