dim,e_v,e_m
0,0.02001366094,-0.04736090189
1,-0.01111715906,-0.02039722478
2,-0.03795676967,-0.0242958191
3,0.02783973595,-0.02267284056
4,0.01107739812,0.02444439863
5,-0.02080823046,0.006042735044
6,0.04472079849,-0.01527377153
7,-0.01019637063,-0.01765406724
8,-0.01498282283,-0.001223999679
9,-0.02445925893,-0.004192322682
10,-0.003512005622,-0.02675577806
11,0.01418453034,-0.01274734814
12,-0.009342067924,0.005586029479
13,0.01379185549,0.03570171359
14,0.00833575116,0.01515502043
15,0.003804765187,-0.007258225106
16,0.02111565619,-0.00959523507
17,-0.03989430474,-0.03826298619
18,0.1826911237,0.1014114429
19,-0.01795586614,-0.02375575658
20,-0.05679913572,0.01466100617
21,-0.005908466588,0.149147812
22,-0.07293951953,0.01429448241
23,-0.01152822457,-0.03578866191
24,0.022379022,-0.01359988189
25,-0.008235650564,-0.005788621414
26,0.02983276783,0.02207916204
27,0.01372471842,-0.08933206766
28,0.001307201281,0.01379031826
29,0.03350074463,0.01299627546
30,0.00300554111,-0.01072141004
31,-0.02863686461,0.07832723927
32,-0.01513944582,-0.02988050352
33,0.05815424553,0.01066674374
34,-0.06326972741,-0.00407092875
35,0.1012117862,0.1200334092
36,0.04742361531,0.005450959147
37,-0.03360149707,-0.001797804097
38,-0.0006450225208,-0.00490136816
39,0.04085234066,-0.001055275126
40,0.01433277306,-0.0120698121
41,-0.004234128199,0.03217658263
42,-0.0325043904,-0.01024973134
43,0.02006273439,0.003921416357
44,-0.0165142273,-0.004143981807
45,0.01050584549,-0.008235530487
46,0.01563515469,0.02736144344
47,-0.003908590933,0.01138760831
48,0.02328467935,-0.009656568737
49,-0.01056581298,-0.01024947563
50,-0.01177745214,0.01005110856
51,-0.0714595635,0.02486244089
52,0.01726614813,-5.555683426e-05
53,-0.03601770036,-0.04543670116
54,0.01293694716,0.01108462047
55,-0.003679266949,-0.02353320274
56,-0.2028209938,0.06286701299
57,0.04764011293,-0.01864967237
58,0.08036267973,-0.1033424207
59,0.008742300393,-0.01235792677
60,-0.001050034926,-0.005083447875
61,0.01813614103,-0.01419759538
62,-0.0377180185,-0.02744166842
63,0.007498907274,0.02291700498
64,-0.03436207798,0.007170084482
65,0.02916502578,0.02091707462
66,-0.008077118277,-0.0001909192397
67,-0.003910638915,0.05657484702
68,-0.0315253113,0.01544791925
69,-0.03543823317,0.09597074279
70,-0.02336717853,0.07413088959
71,-0.0007953130951,-0.01054648084
72,0.01712451673,0.0006152997022
73,0.009885406356,-0.009143411839
74,-0.02198043457,-0.01191121761
75,0.01731875903,-0.0008511170386
76,0.04743683861,0.06878659406
77,-0.02749101237,0.01380064787
78,0.009751410403,-0.008546501628
79,0.04336510614,0.001099810862
80,0.05625875183,0.009304022825
81,0.02045019467,-0.008954949893
82,0.00160159129,0.01428914041
83,0.0267093876,0.005357806046
84,0.01100728109,-0.0002088274307
85,-0.03172544309,0.00973892128
86,-0.01341584866,0.02743120964
87,-0.05622448655,0.007896057349
88,-0.01504167316,-0.008030080975
89,0.07481252526,-0.006924609876
90,0.001952293224,0.002923596657
91,0.01913682407,-0.04626639512
92,0.0565340541,0.008038893356
93,0.0236918344,-0.00568140056
94,0.01248719156,0.0071115634
95,-0.03271222887,0.02078361997
96,0.02028900857,0.008764154544
97,-0.008438086672,0.004918311715
98,-0.0187417751,0.01320703966
99,0.01720515607,0.006282478335
100,-0.01909266271,0.01888345008
101,0.05945583589,0.0006545169968
102,0.02879218471,0.006295577561
103,-0.01943307643,-0.02256533128
104,-0.02329361909,-0.02092838221
105,0.01983915973,-0.02705084037
106,0.02090963521,-0.03858722526
107,0.03175256387,-0.02767177289
108,0.06730365298,-0.0353015835
109,-0.001714868052,-0.001261682113
110,0.01206718678,-0.01925897736
111,0.03183972143,-0.009889905948
112,-0.01648377792,-0.04583058751
113,0.02548671308,-0.01518189744
114,0.03398867827,0.01598588483
115,0.00977617963,0.002364359873
116,0.008599202545,0.003539959965
117,-0.006037714072,0.001479701929
118,-0.08207249373,0.004498226994
119,-0.02341336723,-0.004235289029
120,-0.01693735158,0.02909613724
121,-0.003237589098,-0.02270130607
122,0.01685079913,-0.00569928395
123,-0.0230678101,0.006880354196
124,0.006067162111,0.02553388478
125,0.03627908047,0.008076819199
126,0.06934971635,-0.05931986339
127,0.01192150485,0.01333720802
