layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.08272921333,0.2876268648,0.01628402079,0.1084605325
2,0.0932006335,0.305287788,0.02985050002,0.1267144149
3,0.1161165533,0.3407587905,0.04841806118,0.157247142
4,0.1223073496,0.3497246768,0.05641595986,0.1725523018
5,0.124288981,0.3525464239,0.05262377776,0.1815855963
6,0.1288303539,0.3589294554,0.06893348779,0.1856367844
7,0.1547914482,0.3934354435,0.08534281432,0.1973914105
8,0.1515181067,0.3892532681,0.08654765519,0.1969256608
9,0.1447143729,0.3804134236,0.07624444414,0.1908387888
10,0.1485524412,0.3854250137,0.08059382521,0.2083325986
11,0.1934048638,0.4397781984,0.1121529887,0.2574378231
12,0.1971902398,0.4440610766,0.112888804,0.2675599692
13,0.1906493952,0.4366341663,0.1128477336,0.2723567959
14,0.1883914825,0.4340408766,0.1127753774,0.2563125821
15,0.1965900022,0.4433847113,0.1191439873,0.261038117
16,0.1970840812,0.443941529,0.130125299,0.2525621817
17,0.1945551836,0.4410841004,0.1265348586,0.2519796938
18,0.1937111711,0.4401263127,0.1266152964,0.249045432
19,0.1864112875,0.4317537347,0.1173922502,0.2466900896
20,0.2096576774,0.4578839126,0.1563241054,0.2699141598
21,0.2078371062,0.4558915509,0.1364993256,0.2750201668
22,0.2124920507,0.4609686005,0.1467958471,0.2658164771
23,0.2127049311,0.4611994483,0.1499568858,0.2684623727
24,0.2111137929,0.45947121,0.1363425432,0.2751884127
25,0.2263453217,0.4757576292,0.1498538289,0.3019106398
26,0.2248045576,0.4741355899,0.1479650268,0.3035900249
27,0.2597473791,0.509654176,0.1669482216,0.3332776096
28,0.2601955767,0.5100936941,0.1566234237,0.3388410979
29,0.2691776841,0.5188233651,0.1599072491,0.3492379559
30,0.2658372867,0.5155941104,0.1551137508,0.3456869476
31,0.2692024801,0.5188472608,0.1692415386,0.3627470762
32,0.2617744846,0.5116390179,0.1654716079,0.3549847415
33,0.2620151423,0.511874147,0.1587733297,0.3558307593
34,0.2549109015,0.5048870185,0.160022213,0.347027973
35,0.2105609996,0.458869262,0.103527715,0.3320914343
