layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.107941778,0.3285449406,0.03681945682,0.1584029154
2,0.1150825028,0.3392381211,0.05009309031,0.1644792998
3,0.1141567995,0.3378709805,0.06776902747,0.1546208011
4,0.1275409124,0.3571287057,0.07356051606,0.1703875274
5,0.1411061581,0.3756409963,0.07634145995,0.1928069995
6,0.1360725307,0.3688801035,0.07104694015,0.186892615
7,0.1809165873,0.4253429055,0.1121222996,0.2266162441
8,0.1635210047,0.4043773049,0.1141897284,0.2161914658
9,0.1734011393,0.4164146242,0.1288922913,0.2192714405
10,0.1833854863,0.4282353165,0.1284716981,0.2231856041
11,0.181757733,0.4263305443,0.1316079498,0.2224591876
12,0.1851730421,0.4303173737,0.133248828,0.240235479
13,0.1854042895,0.4305859839,0.1334998614,0.2413851024
14,0.1940465767,0.4405071812,0.1324959631,0.2576397881
15,0.1872625625,0.4327384458,0.1270322442,0.2553195005
16,0.1845370305,0.4295777351,0.1276657116,0.2574434394
17,0.1884818077,0.4341449155,0.1311676672,0.2640101521
18,0.2128672751,0.4613754167,0.1549237391,0.2844932193
19,0.2459905074,0.4959743011,0.1708019326,0.3246117312
20,0.2506080358,0.5006076666,0.176800594,0.3139566568
21,0.2522738878,0.5022687406,0.1785372317,0.317965612
22,0.2618099918,0.5116737161,0.1824472216,0.3303470326
23,0.2675272286,0.5172303439,0.1782482256,0.3314659958
24,0.267681781,0.5173797261,0.1778461889,0.332481878
25,0.2666895872,0.5164199717,0.1722272703,0.3392283175
26,0.253805368,0.5037909964,0.1609096723,0.3261874371
27,0.2266168385,0.4760428957,0.1188401678,0.3221673632
