metric,value
span,14.42992469
midpoint_residual,1.597166841
valence_offset,0.7544308876
markedness,1.407755644
markedness_ratio,2.815511287
apex_angle_deg,31.45900833
effective_vertices,11.44346307
step_cosine,-0.8530137622
