step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9689140172,0.001334134072,0.9842112988,0.0006883275098,3
neutral-negative,0.962951208,0.002626794086,0.9811247568,0.001364497691,3
positive-negative,0.5860240385,0.01281407847,0.7389299752,0.01022787947,3
