step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9691916318,0.001465329554,0.9843544395,0.0007559610962,3
neutral-negative,0.9586419021,0.003199537582,0.9788824801,0.001669620214,3
positive-negative,0.5275108191,0.01447068385,0.6906015833,0.01246468711,3
