metric,value
span,16.91133788
midpoint_residual,0.6698450605
valence_offset,0.3224511288
markedness,0.5871266257
markedness_ratio,1.174253251
apex_angle_deg,71.30341417
effective_vertices,5.048846597
step_cosine,-0.3205565471
