metric,observed,null_mean_mean,null_mean_std,null_sd_mean,null_sd_std,p_value_mean,p_value_std,n_seeds
spearman,0.2635310459,-0.001451936634,0.005508996962,0.1103165227,0.003809843734,0.01320132013,0.0057163393,3
kendall,0.1962838647,-0.001094207996,0.004077092809,0.08515501069,0.003014978439,0.01320132013,0.0057163393,3
probe_r2,0.9057893407,-0.5658957221,0.008586319225,0.2050335496,0.003265512876,0.009900990099,0,3
monotone_fraction,0.2916666667,0.1982407408,0.009379200019,0.04485268563,0.005126198779,0.04290429043,0.02286535719,3
midpoint_residual_median,0.8047411884,0.8244750522,0.002234064081,0.08334131559,0.005721330829,0.4851485149,0.0261955575,3
pc1_frac_centroids,0.8941736815,0.8841234228,0.01307000894,0.09933085995,0.009380534854,0.6270627062,0.08420693613,3
