panel,level,pc1,pc2
raw,negative,-19.86976856,14.45926028
raw,neutral,8.447031708,-9.989759735
raw,positive,11.42273685,-4.469500544
centered,negative,-27.95126503,0.3253266349
centered,neutral,13.16871852,11.18965685
centered,positive,14.78254651,-11.51498349
