space_slug,space,adjacent_raw,adjacent_dis,R_full_positive_neutral,R_full_neutral_negative,R_full_positive_negative
euclidean_raw,Euclidean (raw),-0.2286176685,-0.2528900941,0.8657552049,0.9439757448,0.9379733033
anisotropy_corrected,Anisotropy-corrected,-0.2028624169,-0.228724236,0.8470822151,0.9286525504,0.9257088575
park_causal,Park causal,-0.2078679738,-0.2306448669,0.8629328197,0.9412621418,0.9368269969
mahalanobis_lda,Mahalanobis / LDA,-0.1350633399,-0.1380336997,0.9702551325,0.9867764233,0.9894029483
within_subjects_noise,Within-subjects noise,-0.08816290754,-0.08909382786,0.9852305622,0.9938908593,0.9952652901
