layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.09646163177,0.3105827293,0.02719690252,0.1286461267
2,0.1655645931,0.4068962928,0.07465213801,0.2444186163
3,0.145995335,0.382093359,0.05912055933,0.2200597151
4,0.1342063916,0.3663419053,0.06100264601,0.1957909826
5,0.133138334,0.3648812601,0.06323482713,0.2196981078
6,0.1333860826,0.3652205944,0.06148492436,0.2020473667
7,0.148748971,0.3856798815,0.07227730095,0.1943235051
8,0.1529164236,0.3910452961,0.08238317628,0.2040787092
9,0.1436356758,0.3789929759,0.07697591742,0.1942314886
10,0.1738603289,0.4169656208,0.1111699671,0.2292654037
11,0.1787441149,0.4227814033,0.107138425,0.2226177571
12,0.1760758756,0.4196139602,0.1113491535,0.2322389616
13,0.1646513286,0.4057725084,0.1006629796,0.2157959967
14,0.159224049,0.3990288824,0.09576527443,0.2212833334
15,0.173536889,0.4165775906,0.1103224496,0.2351165198
16,0.1752884556,0.4186746417,0.1150033341,0.236963116
17,0.2030237959,0.4505816195,0.1322346771,0.2632996132
18,0.2114876418,0.4598778553,0.1439695804,0.2628408403
19,0.230313267,0.4799096446,0.1625729137,0.280288101
20,0.2278285116,0.4773138502,0.1529882988,0.2756663218
21,0.2650931174,0.5148719428,0.1816295122,0.3225250112
22,0.2608553201,0.5107399731,0.1727171985,0.3383897595
23,0.2557873601,0.5057542487,0.1664706681,0.3434224121
24,0.2616858142,0.5115523572,0.1629850602,0.3511587391
25,0.2686613427,0.5183255181,0.17181203,0.3645941947
26,0.2547673482,0.5047448348,0.1595342978,0.3390185247
27,0.2067627247,0.4547116941,0.1216697406,0.3031808709
