row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.2425425871,0.0001951154193,0.4274393529,0.0002530092312,3
neutral-negative,-0.2425425871,0.0001951154193,1,0,0.9113616998,0.0001839349715,3
positive-negative,0.4274393529,0.0002530092312,0.9113616998,0.0001839349715,1,0,3
