level,valence,markedness,se_valence,se_markedness
negative,-10.27336227,-3.309698915,0.3411755713,0.4990872735
neutral,3.635386659,6.619397831,0.2632478762,0.4244255465
positive,6.63797561,-3.309698915,0.2510491393,0.4786225923
