intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,40.37401663,0.5503010172,0.2148698335,0.5066183615,1.013236723,84.04659609,4.283338252,-0.1037196287
bad-news-delivery,4,36.4640924,0.8260518443,0.39152421,0.7273722861,1.454744572,59.27207722,6.073686242,-0.5109619014
complaint,7,37.74452243,0.8046381697,0.009589568094,0.8045810241,1.609162048,63.71179823,5.650444816,-0.4428865788
correction,9,28.57449602,0.6570759195,0.06322129918,0.6540273934,1.308054787,74.46983113,4.834172369,-0.2677457348
criticism-or-feedback,8,32.63011394,0.6885001257,0.2356705921,0.646909418,1.293818836,70.89842208,5.077687055,-0.3272439226
disagreement,6,33.2278603,0.4973805287,0.1576299097,0.4717416686,0.9434833373,90.31731345,3.985946728,0.005538136127
inquiry-sensitive,4,32.8778707,0.65520714,0.08849360856,0.6492035717,1.298407143,74.56096515,4.82826368,-0.2662128811
refusal,8,33.34983971,0.795350985,0.2227978429,0.7635078981,1.527015796,63.38518764,5.679560374,-0.4479902336
reminder,6,38.79578359,0.6847182381,0.2401877292,0.6412089522,1.282417904,71.15567109,5.059329699,-0.3229980075
request,12,34.22772317,0.5660807948,0.125954014,0.5518904353,1.103780871,82.72567251,4.351732528,-0.1266201579
ALL,72,24.80927846,0.6608865175,0.2321350814,0.6187764483,1.237552897,73.20412727,4.917755507,-0.2889628362
