row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.5065031779,0.7052008733,0.5731888479,0.02431798929
KMeans,0.5065031779,1,0.2558682369,0.9629509876,0.04061012974
LogReg,0.7052008733,0.2558682369,1,0.2970610222,0.01991082212
PCA,0.5731888479,0.9629509876,0.2970610222,1,0.03785312426
Random,0.02431798929,0.04061012974,0.01991082212,0.03785312426,1
