space_slug,space,adjacent_raw,adjacent_dis_mean,adjacent_dis_std,R_full_positive_neutral_mean,R_full_positive_neutral_std,R_full_neutral_negative_mean,R_full_neutral_negative_std,R_full_positive_negative_mean,R_full_positive_negative_std,n_seeds
euclidean_raw,Euclidean (raw),-0.8530137622,-0.9715476363,0.009115987288,0.8377503683,0.00826898696,0.9202967871,0.0105757507,0.5676617279,0.01727952036,3
anisotropy_corrected,Anisotropy-corrected,-0.1669943749,-0.1898027734,0.0002209760272,0.8477310339,0.001108071893,0.9131486344,0.001398532034,0.9289691241,0.0002797385886,3
park_causal,Park causal,-0.8691647947,-0.9990750979,0.001601977371,0.8175009784,0.00846768695,0.9157443704,0.01175126035,0.522335404,0.01971886543,3
mahalanobis_lda,Mahalanobis / LDA,-0.1687570171,-0.1753393916,2.383995647e-06,0.9505830505,2.549224963e-05,0.9744838001,1.557346335e-05,0.9796336886,2.191312396e-05,3
within_subjects_noise,Within-subjects noise,-0.1164169138,-0.1183553291,5.287553908e-07,0.9777900144,9.39876185e-06,0.9894889104,8.676923591e-07,0.9919395274,3.37233301e-06,3
