component,variance_ratio,cumulative
1,0.8677290503,0.8677290503
2,0.02314217686,0.8908712271
3,0.01374650576,0.9046177329
4,0.006920189899,0.9115379228
5,0.006400457853,0.9179383806
6,0.004246102162,0.9221844828
7,0.003595803189,0.925780286
8,0.00324016737,0.9290204533
