layer,accuracy_mean,agreement_mean
1,0.5396121576,0.2745075171
2,0.5272424144,0.298000919
3,0.5295679958,0.3096457416
4,0.5852822815,0.2841026279
5,0.5585602439,0.2890179272
6,0.5924251387,0.2833569071
7,0.565703101,0.2930968104
8,0.5559495019,0.3040738414
9,0.5851161686,0.3003755662
10,0.5823861764,0.3043106455
11,0.5994680579,0.3025097901
12,0.6067272617,0.298317728
13,0.5942409694,0.3040037941
14,0.6114364965,0.2975066059
15,0.6138174489,0.2948277305
16,0.6330477922,0.2924225021
17,0.6371313348,0.2982735669
18,0.6467712884,0.2992850275
19,0.6830273687,0.2892901961
20,0.6879139257,0.2897406972
21,0.7278940732,0.2924583046
22,0.7373677296,0.2925808767
23,0.7467225226,0.2958815143
24,0.7830806157,0.3008732151
25,0.8088883446,0.2953510569
26,0.9162614394,0.3585644051
27,0.8489620703,0.376398482
