step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9582776608,2.092363341e-05,0.97869437,1.091240499e-05,3
neutral-negative,0.9777081602,6.510073544e-06,0.9887284483,3.328881275e-06,3
positive-negative,0.9820125902,5.601792478e-06,0.9909246743,2.85196614e-06,3
