step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8670246409,0.00121080102,0.9287765587,0.0006947224596,3
neutral-negative,0.89675317,0.001022435724,0.9455663399,0.0005682637004,3
positive-negative,0.902788135,0.0007497645429,0.948910722,0.0004141052021,3
