step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8643945351,0.001291651921,0.9272653387,0.0007432993954,3
neutral-negative,0.9181371684,0.00078067893,0.9573215859,0.0004242812358,3
positive-negative,0.9164634146,0.0004415935984,0.9564110352,0.0002404958521,3
