step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.7945673479,0.001193056975,0.8855249195,0.0007411551253,3
neutral-negative,0.8649054688,0.0009387954654,0.9275594011,0.0005397361062,3
positive-negative,0.8873291401,0.000337771698,0.9403014025,0.0001896517061,3
