row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.285477027,1.988013133e-05,0.3727465687,3.2099266e-05,3
neutral-negative,-0.285477027,1.988013133e-05,1,0,0.8297946238,3.052316564e-05,3
positive-negative,0.3727465687,3.2099266e-05,0.8297946238,3.052316564e-05,1,0,3
