row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.2105314877,1.654438244e-06,0.3827982436,4.253733763e-06,3
neutral-negative,-0.2105314877,1.654438244e-06,1,0,0.8367940764,3.593501006e-06,3
positive-negative,0.3827982436,4.253733763e-06,0.8367940764,3.593501006e-06,1,0,3
