panel,level,pc1,pc2
raw,negative,-3.069099914,0.9125465134
raw,neutral,3.903442647,-1.398191761
raw,positive,-0.8343427332,0.4856452474
centered,negative,4.983506708,-3.933287924
centered,neutral,-4.904487167,0.5086555584
centered,positive,-0.07901954082,3.424632365
