row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.9965165309,0.6686606905,0.9776066079,0.02017771634
KMeans,0.9965165309,1,0.6286802111,0.9857646925,0.01860331559
LogReg,0.6686606905,0.6286802111,1,0.558881977,0.004955466427
PCA,0.9776066079,0.9857646925,0.558881977,1,0.02045952387
Random,0.02017771634,0.01860331559,0.004955466427,0.02045952387,1
