level,valence,markedness,se_valence,se_markedness
negative,-1.895073281,-1.150858568,0.1603515527,0.4029126223
neutral,1.087431761,2.301717136,0.1418969053,0.3401927181
positive,0.8076415192,-1.150858568,0.1296611658,0.3066210222
